"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"U3";"SOT-223-3_TabPin2";1;"3v3 1A";;;
2;"D4,D3";"LED_0805_2012Metric";2;"RED_LED";;;
3;"D2,D1";"D_SMA";2;"D_Schottky";;;
4;"R10";"R_0805_2012Metric";1;"20K";;;
5;"U6";"SOIC127P599X175-8N";1;"LM393D";;;
6;"PLUVIOMETER1,TEMP_5CM,TEMP_10CM,TEMP_15CM";"RJ25_Wayconn_MJEA-660X1_Horizontal";4;"PLUVIOMETER";;;
7;"C6,C8,C7,C11,C4,C13,C3,C12,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"0.1uF";;;
8;"C16,C15,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1uF";;;
9;"R13,R14,R4,R5,R12,R7,R11";"R_0805_2012Metric";7;"10K";;;
10;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
11;"R2,R15,R3,R1";"R_0805_2012Metric";4;"1K";;;
12;"Q1,Q2";"SOT-23-3";2;"Q_NPN_BEC";;;
13;"RESET1";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"RESET";;;
14;"USB";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
15;"BUS_I2C1";"RJ25_Wayconn_MJEA-660X1_Horizontal";1;"SEN0501";;;
16;"BOOT1";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"BOOT";;;
17;"VBAT";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"BAT EXT";;;
18;"W_SPEED/W_DIR1";"RJ25_Wayconn_MJEA-660X1_Horizontal";1;"WIND";;;
19;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
20;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"CON TEST";;;
21;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1nF";;;
22;"RV1";"Potentiometer_Bourns_3266Y_Vertical";1;"5K";;;
23;"R6";"R_0805_2012Metric";1;"0R";;;
24;"RV2";"Potentiometer_Bourns_3266Y_Vertical";1;"10K";;;
25;"C9,C2,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
26;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ACS712";;;
27;"J4";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"LOAD IN";;;
28;"J5";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"HUM SUELO";;;
29;"EXTERNAL_I2C1";"RJ25_Wayconn_MJEA-660X1_Horizontal";1;"EXTENDER I2C";;;
30;"J1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"INPUT_EXT";;;
